step,loss,acc,tps
0,4.31370735168457,0.015073530375957489,19230.654042975748
50,4.16873836517334,0.01764705963432789,17697.397751116547
100,4.163508892059326,0.017034314572811127,17754.96036524553
150,4.158326148986816,0.020098039880394936,17146.53976442259
200,4.1389031410217285,0.027328433468937874,17279.032713395885
250,4.108734130859375,0.029534315690398216,17719.909133958787
300,4.074703693389893,0.03296568989753723,17693.13739376251
350,4.026124477386475,0.03897058963775635,17692.290123424045
400,3.9747962951660156,0.0469362773001194,17721.293719202953
450,3.9357738494873047,0.050367649644613266,17796.596006676937
500,3.9092843532562256,0.052450984716415405,17730.708235464284
550,3.8497183322906494,0.06090686470270157,17615.96474758697
600,3.7565507888793945,0.07438725978136063,17745.524666254936
650,3.7280468940734863,0.07769608497619629,17722.94819385739
700,3.6786980628967285,0.08137255162000656,17656.047513774454
750,3.6327333450317383,0.09129902720451355,17746.739098916776
800,3.6209421157836914,0.09203431755304337,17667.677313314856
850,3.6609628200531006,0.08553922176361084,17624.33194922497
900,3.581104278564453,0.09448529779911041,17677.00764996548
950,3.5906553268432617,0.08958333730697632,17735.622934952586
1000,3.5409023761749268,0.09718137979507446,15716.598126847577
1050,3.60623836517334,0.09436275064945221,17661.81056643895
1100,3.513648748397827,0.10208334028720856,17754.25853216642
1150,3.530634880065918,0.09534314274787903,17727.520171650744
1200,3.536611318588257,0.10049020498991013,17726.308367827685
1250,3.5109779834747314,0.09509804844856262,17758.10782849356
1300,3.502821207046509,0.1041666716337204,17523.539999241646
1350,3.4634807109832764,0.10575980693101883,17383.124872955577
1400,3.5174195766448975,0.10318627953529358,17720.982968370467
1450,3.4761641025543213,0.10600490868091583,17757.190085486058
1500,3.495790481567383,0.10049020498991013,17719.995949777636
1550,3.5078861713409424,0.10098040103912354,17613.228608408233
1600,3.4656295776367188,0.10232843458652496,17762.91835317303
1650,3.4562058448791504,0.1042892187833786,17702.53113006421
1700,3.4344899654388428,0.10514706373214722,17749.75069239344
1750,3.437549114227295,0.10686275362968445,17743.71020114326
1800,3.411273956298828,0.11176471412181854,17718.72578209892
1850,3.401416540145874,0.11397059261798859,17610.6106572657
