step,loss,acc,tps
0,4.312239646911621,0.01686508022248745,6274.714810485287
50,4.178287029266357,0.02182539738714695,17207.38044186369
100,4.165722846984863,0.02083333395421505,17530.206963985926
150,4.08212947845459,0.0396825410425663,17564.223677945563
200,3.934264898300171,0.0486111156642437,17108.932226654324
250,3.8621397018432617,0.0575396865606308,17492.33129916708
300,3.788419723510742,0.068452388048172,17274.234973205672
350,3.586515188217163,0.0823412761092186,17745.19206483987
400,3.446918487548828,0.1016865149140358,17427.386974994854
450,3.241765260696411,0.1329365223646164,17155.624952535516
500,2.979990243911743,0.1676587462425232,17532.550564511
550,2.8338162899017334,0.1860119104385376,17630.33853834803
600,2.735994577407837,0.20783731341362,17034.071258311928
650,2.6278302669525146,0.2346230298280716,17652.947082834657
700,2.5783333778381348,0.2495039850473404,17455.399269820213
750,2.5184104442596436,0.2380952537059784,17242.196373663068
800,2.455099582672119,0.2718254029750824,17646.310685603814
850,2.438403606414795,0.2490079551935196,17574.878743775866
900,2.4419496059417725,0.2797619104385376,17079.387826821436
950,2.4412994384765625,0.2524801790714264,17230.90377294193
1000,2.3491811752319336,0.2733135223388672,17110.670308600336
1050,2.4040346145629883,0.264384925365448,17599.2380068632
1100,2.4285953044891357,0.2857142984867096,17253.884998143163
1150,2.3008999824523926,0.2881944477558136,17832.53655705503
1200,2.2975690364837646,0.2911706566810608,17361.36148356723
1250,2.337501287460327,0.273809552192688,17637.759634791575
1300,2.323293447494507,0.2837301790714264,17461.342634458757
1350,2.278026580810547,0.3035714328289032,17559.448367488952
1400,2.188946485519409,0.3010912835597992,17043.213387494536
1450,2.236827850341797,0.2911706566810608,17483.466177057187
1500,2.2499403953552246,0.2941468358039856,17379.047065600487
1550,2.1883487701416016,0.3368055820465088,17147.970626715025
1600,2.1843984127044678,0.3040674924850464,14546.843960167784
1650,2.1900908946990967,0.3234127163887024,15102.037340134055
1700,2.136352062225342,0.3293651044368744,17267.585161459345
1750,2.1338679790496826,0.3368055820465088,17061.05269798048
1800,2.133310317993164,0.3229166865348816,16974.5418278292
1850,2.227116823196411,0.3005952537059784,17486.704998878595
1900,2.1253669261932373,0.3090277910232544,17215.260414418084
1950,2.2097020149230957,0.3169642984867096,17466.597453974697
2000,2.08005952835083,0.344742089509964,17516.622854834302
2050,2.1352927684783936,0.3382936716079712,17387.577810042854
