step,loss,acc,tps
0,4.320858001708984,0.015563726425170898,9177.993662525469
50,4.163156509399414,0.014338236302137375,14021.51233361091
100,4.158999443054199,0.016544118523597717,13948.086421525484
150,4.155160903930664,0.02083333395421505,14068.828462647376
200,4.1407952308654785,0.025857845321297646,14014.057809045278
250,4.126237392425537,0.027328433468937874,13974.053047470174
300,4.096522808074951,0.028799021616578102,14026.996052631554
350,4.067718029022217,0.034681376069784164,13243.487026551835
400,4.0243635177612305,0.04031863063573837,13466.128981396196
450,4.012851238250732,0.04375000298023224,13798.586889972972
500,3.9602017402648926,0.047671571373939514,14056.95442146507
550,3.8799397945404053,0.05588235706090927,13586.460351253101
600,3.805307149887085,0.0680147111415863,13457.985309505602
650,3.756382703781128,0.0727941244840622,14082.554896605192
700,3.7203619480133057,0.07585784792900085,12994.28323010983
750,3.72686767578125,0.07769608497619629,13635.073297344043
800,3.660703420639038,0.08553922176361084,13282.20023789379
850,3.6544389724731445,0.08713235706090927,13356.837713512883
900,3.6253304481506348,0.08774510025978088,14158.900670980638
950,3.609652280807495,0.08982843905687332,13226.915548222967
1000,3.60678768157959,0.08982843905687332,13974.490669576937
1050,3.5860884189605713,0.09583333879709244,14180.738105768618
1100,3.590505599975586,0.08492647856473923,14079.332070785955
1150,3.606182813644409,0.09093137830495834,13897.917083400907
1200,3.5654547214508057,0.09276961535215378,14082.375972343663
1250,3.5672149658203125,0.10134804248809814,11250.846775117147
1300,3.555535078048706,0.09718137979507446,13384.56998435102
1350,3.578118324279785,0.09276961535215378,13591.71921236939
1400,3.5478270053863525,0.09803922474384308,13915.55430117891
1450,3.5620174407958984,0.09852942079305649,13843.278474060096
1500,3.522800922393799,0.09742647409439087,14248.611976646716
1550,3.5265066623687744,0.10196079313755035,13892.828709646717
1600,3.4985604286193848,0.10196079313755035,12809.278642546427
1650,3.4914774894714355,0.10575980693101883,14015.275382848356
1700,3.490656852722168,0.10208334028720856,14142.937787261713
1750,3.4888827800750732,0.09840686619281769,13985.741846000667
1800,3.4721274375915527,0.10575980693101883,13999.534706630784
1850,3.4589085578918457,0.10600490868091583,14045.731962962907
1900,3.473111867904663,0.10894608497619629,14164.401894441431
1950,3.4415199756622314,0.10490196943283081,13672.080844050543
2000,3.4364359378814697,0.10882353782653809,12478.894365732627
2050,3.4113476276397705,0.10747549682855606,12523.570590345467
2100,3.4147469997406006,0.11004902422428131,14297.746601687706
2150,3.402078151702881,0.11262255907058716,14130.604217574946
2200,3.44012451171875,0.11421569436788559,14060.333862650212
2250,3.400045394897461,0.114460788667202,13329.289931744213
2300,3.425605058670044,0.11041667312383652,12933.840644698737
2350,3.376605272293091,0.11715687066316605,13257.636541966025
2400,3.405691385269165,0.11629902571439743,13828.564343573762
2450,3.3959827423095703,0.1093137338757515,13405.641011125155
2500,3.360508680343628,0.11715687066316605,14211.398649465973
2550,3.36145281791687,0.11593137681484222,14078.928239614033
2600,3.366227865219116,0.11409314721822739,13937.531721286547
2650,3.4471092224121094,0.10330882668495178,13891.800810583794
2700,3.3699605464935303,0.11936274915933609,14143.569440239646
2750,3.337402820587158,0.12156863510608673,14019.678706148457
2800,3.4073195457458496,0.11127451807260513,14019.635803292047
2850,3.331238031387329,0.11936274915933609,14101.720311409767
2900,3.336493968963623,0.1150735393166542,13646.418449901616
2950,3.4047067165374756,0.11213236302137375,12663.678051790399
3000,3.3527379035949707,0.12095589190721512,12803.352866096311
3050,3.3114476203918457,0.12377451360225677,13778.335138274506
3100,3.339082956314087,0.12169118225574493,13872.638441894329
3150,3.3264272212982178,0.11813726276159286,13579.981724065236
3200,3.3344078063964844,0.1198529452085495,13911.93709473834
3250,3.3152337074279785,0.125,13701.018846389556
3300,3.3099565505981445,0.12401961535215378,13969.791927710561
3350,3.2925570011138916,0.12316177040338516,14192.53502018996
3400,3.267308473587036,0.12941177189350128,13023.045813835748
3450,3.2590484619140625,0.1306372582912445,12969.827032276418
3500,3.2840120792388916,0.12683823704719543,14075.00074782638
3550,3.289950132369995,0.12745098769664764,13949.17646566313
3600,3.223229169845581,0.13321079313755035,14006.13731430088
3650,3.2327749729156494,0.13394609093666077,13753.3736378441
3700,3.2422006130218506,0.13811275362968445,13946.956919170452
