step,loss,accuracy
0,4.773019790649414,0.010826772078871727
50,4.647355079650879,0.006889763753861189
100,4.6198577880859375,0.007627952843904495
150,4.615728378295898,0.01131889782845974
200,4.618656635284424,0.012303149327635765
250,4.611623764038086,0.010826772078871727
300,4.614721775054932,0.00861220434308052
350,4.611995697021484,0.009842519648373127
400,4.611800670623779,0.008858267217874527
450,4.60952615737915,0.009842519648373127
500,4.605400562286377,0.009104331023991108
550,4.609399318695068,0.008858267217874527
600,4.6082377433776855,0.011811023578047752
650,4.609960556030273,0.011072834953665733
700,4.609830856323242,0.009104331023991108
750,4.6073384284973145,0.01131889782845974
800,4.603957176208496,0.012057086452841759
850,4.606916427612305,0.00565944891422987
900,4.605420112609863,0.01131889782845974
950,4.607007026672363,0.012303149327635765
1000,4.606594085693359,0.008366141468286514
1050,4.608832836151123,0.007874015718698502
1100,4.607151985168457,0.007135826628655195
1150,4.60654878616333,0.01131889782845974
1200,4.607703685760498,0.00959645677357912
1250,4.605472564697266,0.009104331023991108
1300,4.607695579528809,0.0066437008790671825
1350,4.606360912322998,0.011564960703253746
1400,4.609361171722412,0.007135826628655195
1450,4.607143878936768,0.013041338883340359
1500,4.606855392456055,0.011072834953665733
1550,4.6059041023254395,0.010580708272755146
1600,4.608584880828857,0.0049212598241865635
1650,4.605302333831787,0.011564960703253746
1700,4.60502815246582,0.009842519648373127
1750,4.606346130371094,0.01131889782845974
1800,4.606255054473877,0.012795275077223778
1850,4.607265949249268,0.007135826628655195
1900,4.608188629150391,0.011072834953665733
1950,4.609038352966309,0.012303149327635765
2000,4.607580661773682,0.012057086452841759
2050,4.606673717498779,0.009842519648373127
2100,4.606346607208252,0.006889763753861189
2150,4.605921268463135,0.010826772078871727
2200,4.605792045593262,0.00959645677357912
2250,4.6055216789245605,0.006397637538611889
2300,4.605112552642822,0.007135826628655195
2350,4.607725620269775,0.00861220434308052
2400,4.606174945831299,0.006889763753861189
2450,4.603518009185791,0.013779527507722378
2500,4.605917930603027,0.011072834953665733
2550,4.607868194580078,0.010088582523167133
2600,4.604709148406982,0.009842519648373127
2650,4.605825424194336,0.0061515746638178825
2700,4.606685638427734,0.009104331023991108
2750,4.6056718826293945,0.010826772078871727
2800,4.606547832489014,0.00861220434308052
2850,4.605130672454834,0.009104331023991108
2900,4.605995178222656,0.012795275077223778
2950,4.606602668762207,0.00565944891422987
2999,4.606643199920654,0.00516732269898057
