step,loss,accuracy
0,2.954237937927246,0.049395158886909485
50,2.8223226070404053,0.05645161122083664
100,2.798189163208008,0.05846773833036423
150,2.786501169204712,0.07056451588869095
200,2.778977870941162,0.07560483366250992
250,2.7800800800323486,0.06451612710952759
300,2.7804391384124756,0.07459677010774612
350,2.7673258781433105,0.06955645233392715
400,2.795053243637085,0.05745967477560043
450,2.808210611343384,0.07157257944345474
500,2.7828269004821777,0.04536290094256401
550,2.772063970565796,0.07459677010774612
600,2.780573844909668,0.0786290317773819
650,2.7848637104034424,0.0625
700,2.772667646408081,0.07560483366250992
750,2.7771084308624268,0.06854838132858276
800,2.7756452560424805,0.0635080635547638
850,2.7790067195892334,0.05443548411130905
900,2.7749176025390625,0.07056451588869095
950,2.7803006172180176,0.05342741683125496
1000,2.782369613647461,0.05040322244167328
1050,2.77459454536438,0.05645161122083664
1100,2.7776272296905518,0.052419353276491165
1150,2.779017210006714,0.06754031777381897
1200,2.773613452911377,0.06149193271994591
1250,2.771364688873291,0.052419353276491165
1300,2.7745883464813232,0.05745967477560043
1350,2.7726924419403076,0.06552419066429138
1400,2.772986650466919,0.0625
1450,2.7730863094329834,0.07056451588869095
1500,2.7751364707946777,0.055443547666072845
1550,2.7721118927001953,0.05745967477560043
1600,2.774379014968872,0.06149193271994591
1650,2.7710180282592773,0.06552419066429138
1700,2.770634651184082,0.08467741310596466
1750,2.773092031478882,0.06653225421905518
1800,2.774308681488037,0.07157257944345474
1850,2.7747855186462402,0.055443547666072845
1900,2.774001359939575,0.05141128972172737
1950,2.7739274501800537,0.05745967477560043
2000,2.7709836959838867,0.08165322244167328
2050,2.7717676162719727,0.06653225421905518
2100,2.7725164890289307,0.06451612710952759
2150,2.7725419998168945,0.06754031777381897
2200,2.771493434906006,0.06955645233392715
2250,2.769373655319214,0.0625
2300,2.7731640338897705,0.05846773833036423
2350,2.776475191116333,0.0635080635547638
2400,2.774106979370117,0.06149193271994591
2450,2.7726354598999023,0.0625
2500,2.7715907096862793,0.06754031777381897
2550,2.7740190029144287,0.06552419066429138
2600,2.771688222885132,0.07963709533214569
2650,2.7728888988494873,0.05342741683125496
2700,2.7724547386169434,0.055443547666072845
2750,2.771963596343994,0.06854838132858276
2800,2.7710585594177246,0.0635080635547638
2850,2.7713098526000977,0.07056451588869095
2900,2.7701447010040283,0.06653225421905518
2950,2.7722699642181396,0.05947580561041832
2999,2.7696001529693604,0.08064515888690948
